gmtTime,srcAddrOrg,car_id,lng,lat,isArriveOrLeft,stationSeqNum
2017-05-08T06:10:16+0800,720040,50079580,120.161702,30.252252,2,29
2017-05-08T06:10:31+0800,720040,50079556,120.092306,30.173427,2,31
2017-05-08T06:10:39+0800,720040,50079585,120.15009,30.232375,1,6
2017-05-08T06:10:45+0800,720040,50079567,120.067946,30.163721,2,25
2017-05-08T06:10:48+0800,720040,50079583,120.13483,30.228583,1,23
2017-05-08T06:10:59+0800,720040,50079550,120.114269,30.189423,1,15
2017-05-08T06:11:04+0800,720040,50079585,120.149098,30.232242,2,6
2017-05-08T06:11:24+0800,720040,50079556,120.096473,30.176281,1,32
2017-05-08T06:11:43+0800,720040,50079556,120.097923,30.176952,2,32
2017-05-08T06:11:45+0800,720040,50079581,120.077537,30.164303,1,28
2017-05-08T06:11:52+0800,720040,50079585,120.146155,30.232366,1,7
2017-05-08T06:12:10+0800,720040,50079583,120.141706,30.231538,1,24
2017-05-08T06:12:18+0800,720040,50079585,120.145155,30.232245,2,7
2017-05-08T06:12:29+0800,720040,50079550,120.113993,30.189308,2,16
2017-05-08T06:12:33+0800,720040,50079562,120.07287,30.160897,1,27
2017-05-08T06:12:56+0800,720040,50079583,120.14616,30.232241,1,25
2017-05-08T06:12:58+0800,720040,50079562,120.0737,30.161166,2,27
2017-05-08T06:13:15+0800,720040,50079581,120.080137,30.166477,2,28
2017-05-08T06:13:19+0800,720040,50079580,120.161858,30.256511,1,30
2017-05-08T06:13:31+0800,720040,50079556,120.105065,30.180645,1,33
2017-05-08T06:13:34+0800,720040,50079581,120.080785,30.16681,1,29
2017-05-08T06:13:57+0800,720040,50079585,120.137501,30.229899,1,8
2017-05-08T06:14:00+0800,720040,50079556,120.106633,30.181558,2,33
2017-05-08T06:14:26+0800,720040,50079583,120.150748,30.232479,2,25
2017-05-08T06:14:29+0800,720040,50079585,120.136341,30.229495,2,8
2017-05-08T06:14:29+0800,720040,50079585,120.136341,30.229495,2,8
2017-05-08T06:14:40+0800,720040,50079546,120.154735,30.245654,2,1
2017-05-08T06:14:42+0800,720040,50079546,120.154696,30.245575,1,3
2017-05-08T06:14:48+0800,720040,50079546,120.154475,30.245141,2,3
2017-05-08T06:14:49+0800,720040,50079580,120.160625,30.25637,2,1
2017-05-08T06:14:51+0800,720040,50079550,120.114027,30.189236,2,16
2017-05-08T06:15:04+0800,720040,50079581,120.085589,30.169445,2,29
2017-05-08T06:15:13+0800,720040,50079581,120.086336,30.169778,1,30
2017-05-08T06:15:32+0800,720040,50079583,120.151346,30.235777,1,26
2017-05-08T06:15:37+0800,720040,50079556,120.114388,30.189014,1,34
2017-05-08T06:15:40+0800,720040,50079585,120.133769,30.226971,1,9
2017-05-08T06:15:52+0800,720040,50079585,120.133713,30.226408,2,9
2017-05-08T06:16:07+0800,720040,50079556,120.115614,30.189655,2,34
2017-05-08T06:16:27+0800,720040,50079581,120.090981,30.171712,1,31
2017-05-08T06:16:29+0800,720040,50079567,120.067907,30.159643,1,26
2017-05-08T06:16:34+0800,720040,50079546,120.153465,30.241025,1,4
2017-05-08T06:16:35+0800,720040,50079562,120.07819,30.164974,1,28
2017-05-08T06:16:39+0800,720040,50079550,120.115665,30.189605,2,16
2017-05-08T06:16:40+0800,720040,50079550,120.115665,30.189605,2,16
2017-05-08T06:16:54+0800,720040,50079586,0,0,2,1
2017-05-08T06:17:02+0800,720040,50079583,120.153624,30.240413,2,26
2017-05-08T06:17:16+0800,720040,50079556,120.122069,30.193855,1,35
2017-05-08T06:17:32+0800,720040,50079583,120.153566,30.241256,1,27
2017-05-08T06:17:36+0800,720040,50079546,120.151929,30.237666,1,5
2017-05-08T06:17:36+0800,720040,50079585,120.130893,30.21862,1,10
2017-05-08T06:17:36+0800,720040,50079556,120.123172,30.19494,2,35
2017-05-08T06:17:39+0800,720040,50079581,120.095141,30.175558,1,32
2017-05-08T06:17:46+0800,720040,50079546,120.151632,30.236974,2,5
2017-05-08T06:17:47+0800,720040,50079570,120.06815,30.163705,2,25
2017-05-08T06:17:52+0800,720040,50079567,120.072696,30.160909,1,27
2017-05-08T06:18:04+0800,720040,50079583,120.153489,30.243179,1,28
2017-05-08T06:18:04+0800,720040,50079550,120.12309,30.194767,1,17
2017-05-08T06:18:05+0800,720040,50079562,120.080169,30.166502,2,28
