id,card,card_type,time,compony_id,line_id,car_id
12335663,50DD1F93AE5C15002ABE8AE0A2FA1CF2F5E16960A9411B490BD8CC85E7A633466F56C9D4313688BB,1,2017-05-08 08:17:36.000,7,9014,50079546
12335757,11F65BC751937AF3C1E4C43C97B44861C8D3735B631076CF13654471A9605411AAEB8B3A5D72EB10,1,2017-05-08 08:17:38.000,7,9014,50079546
12335928,CD1A1BE0053567C5C0AA41E3F2D416670D6F495E5D6A12F482E7453329FD2214A5B7F35EF5932D67,1,2017-05-08 08:17:40.000,7,9014,50079546
12335920,6EB5CC7323DB06E5CB79326CA8720947C95FDA960490B576756D2BDA2A297FA6AC0E54D8B4CF7998,0,2017-05-08 08:17:40.000,7,9014,50079732
12336318,270F115A797ADA2689BF4EC15430FABA2B02F2D71C80B4B00295FBB2E3A81078A6A5AD19BE6D5839,0,2017-05-08 08:17:45.000,7,9014,50079732
12336595,109EE506A951EA82F34FF418EE58334B50672A9F89B949B95B9EB891BE8D6837CC7B6DB71CD1B916,1,2017-05-08 08:17:49.000,7,9014,50079543
12336669,871589CA189DC25C37D65F1010E547E906ECEC72315EEEE19EED70F592AFFFA60498D1CC34327C4E,0,2017-05-08 08:17:50.000,7,9014,50079532
12336771,7CE76B925336DBFA7D58775E931B710776707FA580313CDDFF3A9D478782BD6B7B025B0BADC288AA,1,2017-05-08 08:17:51.000,7,9014,50079532
12336745,EB4B830E350AC5DC62CA39A303F08A895DCAC10CAD9112C073B973BC66377F9166258C5D2731AB85,0,2017-05-08 08:17:51.000,7,9014,50079543
12336864,8056B7F5547D27C2066CC992AAE3FD1B4DFD89EF43F1BB6493AA6C65A94ED252DAE864A2A3C70D81,0,2017-05-08 08:17:52.000,7,9014,50079543
12337011,488E1A56DCD033D197AB6AEC6814FFA3E446E7746B77F8921EAC13C35029A0FABC2FFE826A7A1AF8,0,2017-05-08 08:17:54.000,7,9014,50079543
12337090,7847039CEEF54F5184F7A0E6A2F44E966BB42057AC23FF501E4B4E142DEA6BFB6D7659BA719026BC,0,2017-05-08 08:17:55.000,7,9014,50079543
12338257,5CB13E150A2E50CD70D96BF565C76EEEA3F0CAE9D6F486CDC926E4020FDE58CD8F8109A01DD423D9,1,2017-05-08 08:18:11.000,7,9014,50079552
12338644,1BE1FB7F068F13202E59C69AAE47BEF635DB4CA34A5421209201F419A9537C1046B3BDEC48C1891C,0,2017-05-08 08:18:17.000,7,9014,50079559
12338981,84D7A0ABFDF50E2D215C20F21AEF2093346A801B9FCAC616E4C8F0C66C0F9C24AFF7F798DC8016F7,1,2017-05-08 08:18:21.000,7,9014,50079555
12339159,D6B3886A43B50370ADAE3F12FEA39493E0DDE66B834537A822FE83A74714E2C159E69B19B6FF2FB8,0,2017-05-08 08:18:24.000,7,9014,50079730
12339183,03B17ADB03044EC969707F0A960A7986105EE7E37496C1EF1CEF299D3294ACD448FBE6C07424C45D,0,2017-05-08 08:18:24.000,7,9014,50079554
12339302,BA4EB049311A91F0D38E7F707EEFAEF982817223F91A20E388EB55A14E03CB76D5BD3DEA4195045B,1,2017-05-08 08:18:26.000,7,9014,50079554
12339346,CF5577227DA91474597EC77D404F5298B20A0DB8EF9EE1D71A09E308D9B3F5F186D4C279DC2428BC,0,2017-05-08 08:18:26.000,7,9014,50079730
12339810,B2513F1FDBB52C2A9D299E7F30F8C5B77EBD166FA98B73A08CAE3D7490AFF4A51BE2F4804E1A49AA,0,2017-05-08 08:18:32.000,7,9014,50079562
12340059,19608BA431F32CB32BE477B00D2ACBEC77E46A4D5A80556EEC1D6F42E5C7F3B51B5290E19A3E0348,0,2017-05-08 08:18:35.000,7,9014,50079562
12340132,EDC18C1BD169715717D359AF956C09DE00EF917C81FB8400439624795F70F7748BB1D1E00645599B,0,2017-05-08 08:18:36.000,7,9014,50079562
12340223,68102812E5A17B258F0800C9184F0417EABC5A6F027349ECE2F79AFE0F5F0AB15B6A3923E9960F68,0,2017-05-08 08:18:37.000,7,9014,50079581
12340225,2257228510AEE59D9BC08D80566D1FE4DA970B1980B1EAB44A8CA523692214D31BCBB64FCEC853DF,0,2017-05-08 08:18:37.000,7,9014,50079559
12340270,41958506A4BF1F00E59254B95C03AAC22F0660D99A1BAABB546684B410AEAE9A162C5A5685D92EC6,0,2017-05-08 08:18:38.000,7,9014,50079562
12340658,CE71D23234417A4947A3625FFA4AA931034B6DD8F04084559E9AC1997F4E329A799B773EB6AACDA5,1,2017-05-08 08:18:43.000,7,9014,50079547
12340830,BBB608DB9C5FDF77C0F67DE6886B4303CB27963898E4A5C284FAB6DD3044465D74122A890FAE9810,0,2017-05-08 08:18:45.000,7,9014,50079562
12340782,092A369335E110696F0306B7501EA107D39D883BD5000FE505C8D98AA26FB48E8E90AEEF43AC2DD2,0,2017-05-08 08:18:45.000,7,9014,50079547
12340854,B7AC4BDC9091234EABA26F358EF94E29994176486462E5CF8B1F62E93B651D94EA17F1B9EF0D6B22,0,2017-05-08 08:18:46.000,7,9014,50079547
12341027,73168E63D8455AD005D5CF2D70AB054ACC169D2FC5DF236C9CF91701350EAD4020A0DB3BB210EBF1,0,2017-05-08 08:18:48.000,7,9014,50079562
12341213,C8791D92804BF2507DA2CBD95491C6958BA78A14BE4440F76D1C38EF52645784ACAA1C97329B32EA,0,2017-05-08 08:18:50.000,7,9014,50079562
12341145,1A08763A94992FBE6FA42EB3953E1D64336E4389594AA963CDA57F92CE73F1F1D3D55247A40DCB11,0,2017-05-08 08:18:50.000,7,9014,50079559
12341551,3A8D483276BB673800F369C93D6C77544C6EA4AF56CC652D6BDF38DB7D8EC7FE2A244CBC1EFFDCF2,0,2017-05-08 08:18:55.000,7,9014,50079562
12341831,BD964546AF59EE2528F0B076C1AD174D7AADDF713A0326933EA1DBF9BCC35CF88681C8D0C547E36A,1,2017-05-08 08:18:58.000,7,9014,50079559
12341940,3F9A25B6857FF6EDB4B080568BEB296BB1761727EA4279C0116704784A158BCF09F1EDD91BDC6332,1,2017-05-08 08:18:59.000,7,9014,50079559
12341918,EA5D5E38D16CBD50A700C3D976BD306EC12429E1A1F37A5A1960933AE905CF3AB0B10E714AB413A2,1,2017-05-08 08:18:59.000,7,9014,50079532
12341988,F01F64BF2BAF0F2268D1750F697E8F835C83785DEF8CDDF495ECA57AE753C76D2D4F8281ACB7A302,0,2017-05-08 08:19:00.000,7,9014,50079532
12342108,CF2B6DC5601384D19B7008CB9965D43F11666FEEF4E8F195705EF040771F31580E2AE0FEF340731B,0,2017-05-08 08:19:01.000,7,9014,50079559
12342188,F4718425BB3D68543D88F5BF5A4C4DCC4B6FF714C73276B4AB0372117A09B3215148510A690C654F,0,2017-05-08 08:19:03.000,7,9014,50079572
12342660,BB2CE1BFCB6AC40FB7A3C01C3B154D2E9A0B0259A7A7D87828E7E13FA062BCD5402D7D8B6B8C2485,0,2017-05-08 08:19:09.000,7,9014,50079559
12342694,521A85F27A1CAE4F6747ACD4215573E4B130E54188903B9C1777192B0E20AF360A94E8E7B2C91613,0,2017-05-08 08:19:09.000,7,9014,50079562
12342986,943CDA0E309836F0726834C12D9645C129322B28F6177EAD8BB39932969F4AD2BCF0C3B6972D7D4E,0,2017-05-08 08:19:13.000,7,9014,50079532
12343421,92749BE35230467603A9E623433C3635F8252DE46DF8508CED3DA5E67F54BC3A39213BAC5C35FBD3,0,2017-05-08 08:19:19.000,7,9014,50079559
12344270,25F79842A843316B2C912695EA7D0ADFA5E42AB4637DD99A6F7E689E72C36A570EEA9C4857C8B7E2,0,2017-05-08 08:19:30.000,7,9014,50079559
12344462,5694EF3556424F7F3954DBC7224655F2BD97A9B1EE5644A33C77A5B1F34D196B3925FE8B4DA836C8,1,2017-05-08 08:19:33.000,7,9014,50079559
12344790,A72FD118A9E6768ABAB07974B3D84BB28623DC84412696D870F4CC01339956EAFF8A674093CB0F85,0,2017-05-08 08:19:37.000,7,9014,50079562
12346368,A47513670706974CCA0FBD13CA6974576443B418517CF3A8A86A78A78C93B3EEF5EC64ECB0832EC6,1,2017-05-08 08:19:58.000,7,9014,50079547
12346693,957C911CD0DC3BDEC81C1B48F16335EDFDC30776FF9BB936FC26B9DA2F39D308822E37FDD3142521,0,2017-05-08 08:20:03.000,7,9014,50079585
12347186,042D7AE885F9AE349A678646C0018E89C263D0EA31B0C16FAE248343FBFD36439175023573D4D11B,1,2017-05-08 08:20:10.000,7,9014,50079532
12347270,4CBCDD46553EE1B018D6B66F3F3B9F4DD17D2BC5CFB08C30BA9B98C042A53EF732718AADE24BC8AE,0,2017-05-08 08:20:11.000,7,9014,50079551
12347342,D3750CBCF9FD7CACFDFECC42842E9876D8772E80F0BC861FC49B256A04613A9797A5D41ACDE59A53,0,2017-05-08 08:20:12.000,7,9014,50079532
12347396,3863FA8934E78981E78EBE304A07FF294B56A5C53096A67BD4BF73C2C0D6953FF312D30077D0A8AA,1,2017-05-08 08:20:13.000,7,9014,50079551
12347538,9E8A1D59567CEC96183448C4BC59BE0A0E9E47659736469F4B85A746E3EEDDC99F62B74065F171BB,0,2017-05-08 08:20:15.000,7,9014,50079551
12347683,6BC1F5D0F7BF98685E30200146ABB76ACD8B78F415A16392288C7047931B0B5958A4BB0236701FDE,0,2017-05-08 08:20:17.000,7,9014,50079548
12347811,7DB06D299E9F0752F38E301C9903F15E963539AA8D0BDECDC88B94165025CEC3CAF75C08492D7A57,0,2017-05-08 08:20:19.000,7,9014,50079548
12348385,17BE62F000D7DCEDDD1503D0213EAA025E0819A5767F3E7BE1F7780B7B1F1B37CB8BE6530AE0316B,0,2017-05-08 08:20:28.000,7,9014,50079532
12349106,F9B575819651123CFC2D57162E296646B39C7A60CEA793F52B02AA01452CB84B9AFF3F1B3561650C,1,2017-05-08 08:20:38.000,7,9014,50079522
12349660,B09B9823F5DA056DBB47F3455D4264001E967FF6C010EE7DCC1082670EB0D28AC361E420CF155DCE,0,2017-05-08 08:20:47.000,7,9014,50079584
12349900,AA9E44B5880F9DF8BE4E6C9649E5555DD8CCE7E3BB7F17138D3FB5F377D59525F0C2A6C723250EC7,0,2017-05-08 08:20:50.000,7,9014,50079559
12350399,C5A0AD4C547FCD5F077C949A942ABF2D27FC7D1AB63F4309158F8F970023DD0CA52B95D0C009697A,0,2017-05-08 08:20:58.000,7,9014,50079522
12350549,BFDA18B407636A31844F5B56BD16B916667BCF9E4D6E390152A4455E9AB10B8DB79F1C0B25E35E7C,0,2017-05-08 08:21:00.000,7,9014,50079522
12350771,829429B56DF8C5663E744E1B0E722CFA2FB454C753EB8DB5B91AF74197255A3464F407A85AC59C1F,0,2017-05-08 08:21:03.000,7,9014,50079522
12350723,6954404F6AF4DC88BFD6DB15D2FC8C13065C7FBABE8ADF46347A8FD732822CD220795A8B6E3494B0,0,2017-05-08 08:21:03.000,7,9014,50079546
12351401,D03A9EF13D484C54B22FD674C7063C51937CE2CB1FE66BB4F7B860EA3C500B07BA43DCE185F391A2,4,2017-05-08 08:21:12.000,7,9014,50079546
12351466,5A8C5564422E1363E04A59ED85438CBDD7E65B2894D09AA9ACDE4069E6CA6E31477188B7C3C0D4B7,1,2017-05-08 08:21:13.000,7,9014,50079546
